Z_HS300,A1_CAPITALIN,A2_HKCapitalin,A4_NEWFUND,A5_SAVE_MKTVL,A6_ISPO,A8_Leverage_AMT,B1_Basis,B3_HS300AMT,B4_Leverage,B5_NEWINVSTOR,B6_PEG,B7_DVDM10YTRY,B8_PELevel,B9_Erating,C1_SHIBOR3M,C2_TEDSPRD,C3_AUFI,C4_ICEOIL,C5_CBOND,C6_COMMEDITY,C7_USDCNY,C8_OMO,C9_HOTMONEY
-0.023892538,-232.218197,0,0,0.05081093,23.77733333,-0.000335669,0.001791154,-0.375283935,2.09E-05,0.272730371,-0.023326868,-0.07,-0.022379258,-0.0095,-0.29498,1.4408,0.001346139,0.051266619,-0.001137786,0.024485288,-0.006730366,190,-108.785
-0.035691138,-235.419646,0,0,0.088641694,23.77733333,0.000665304,0.002461575,0.005790216,4.77E-05,0.050255136,-0.03233978,-0.0226,-0.065482951,-0.0068,0.23334,1.6396,-0.024552837,-0.011315682,-0.002507695,0.007753473,-0.000151766,2490,-108.785
0.017700565,-24.897633,0,112.9502,-0.043261739,23.77733333,0.00019269,0.002985114,-0.038475815,2.37E-05,0.033089129,0.004842047,-0.0508,0.022612335,0.0335,0.92862,2.335,-0.019051694,0.01758086,0.001824402,0.009306548,0.000667597,1700,-108.785
0.01326414,5.649106,0,52.5834,0.063356678,16.251,-0.000284102,0.002637716,0.042181645,-2.56E-07,-1.180460831,0.022338001,-0.0319,0.030030598,0.0007,0.28312,2.4182,0.016998983,0.023396956,0.000835073,0.037862624,-0.001062296,1700,158.2865
0.0140923,-38.044075,0,7.7611,-0.047707829,16.251,-0.00015477,-0.001203477,0.094261013,-3.14E-06,0.721548905,0.030610461,-0.099,0.013549256,-0.017,-0.04848,2.45,0.012828775,-0.000689078,-0.007387977,0.004121203,0.001395928,780,158.2865
0.028715825,-34.468807,0,0,-0.082934277,16.251,0.000305456,0.00607869,0.470906672,5.04E-06,0.930976151,0.019269405,0.0231,0.059414381,0.0073,-0.81284,1.947,0.013874609,0.013789275,0.001451435,-0.023475199,-0.002596162,550,158.2865
-0.004449345,-264.915001,0,0,0.000626079,16.251,-4.07E-05,0.005311143,-0.210119445,4.63E-05,0.152940414,-0.012034613,0.1043,-0.027714391,0.0083,0.1121,2.2982,0.006333914,0.086833298,0.002135124,-0.0319527,-0.000364914,760,158.2865
0.022587789,-12.48962,0,0,-0.021361452,25.06066667,0.000137688,0.005483287,0.088186603,1.62E-05,-0.099752055,0.022211848,-0.0146,0.051224385,0.0028,-0.2374,1.986,0.002387076,0.032330119,0.001522302,0.025252005,-0.001308702,1030,-252.999
-0.007146348,-258.592437,0,0,-0.012395276,25.06066667,0.000543518,0.000869625,0.070875227,5.48E-05,0.122355948,-0.025033665,0.0136,-0.019270228,-0.0118,-0.41598,1.7141,-0.002800738,-0.021877371,0.000380214,-0.066089638,0.001202243,-100,-252.999
-0.009806887,-357.754287,0,43.2902,0.015075485,25.06066667,-0.000860441,0.005135764,-0.152322667,3.72E-05,-0.01817808,0.003778703,0.1006,-0.067579777,0.001,-0.04286,1.7461,-0.000243332,0.008860873,0.003112311,0.019721188,-0.001247927,-490,-252.999
0.024209156,-10.993653,0,20.6259,-0.06473879,25.06066667,0.000624922,0.001188654,-0.132485167,2.97E-05,0.042137398,0.002224489,-0.0636,0.068748359,-0.0038,0.03652,1.6369,0.014401894,0.01206769,0.001136235,0.007228226,-0.001340973,-1030,-252.999
-0.006625361,-268.467208,0,74.6611,0.113496867,23.53366667,0.00099362,0.001121694,0.148626025,4.61E-05,0.029091757,-0.03347494,-0.0326,-0.101483588,0.0023,-0.0811,1.5591,-0.004424526,0.027408303,0.001210562,-0.027529939,-0.0008085,-1530,479.2894
0.024338038,33.895885,0,22.2685,-0.056188874,23.53366667,0.000874291,0.003769952,-0.022442084,6.73E-06,-1.096780403,0.026396994,-0.0278,0.055767681,-0.003,0.03946,1.6381,0.022172239,0.063435898,-0.00075643,0.03691957,-0.001634249,280,479.2894
0.001664407,-252.600942,0,32.9755,-0.015217594,23.53366667,0.000454233,0.004125106,0.077563166,8.27E-05,0.593525421,0.008677942,0.0132,0.021578919,-0.0095,0.0276,1.6834,0.001898062,-0.025297602,0.002946846,-0.032919613,-0.001820672,-830,479.2894
-0.017721746,-329.80317,0,74.224,0.019841757,23.53366667,-0.001725966,0.002381254,-0.177142853,4.54E-05,0.032775465,-0.024360717,-0.0005,-0.063036741,0.0033,0.07208,1.7758,0.0180663,0.002502322,-0.000603774,0.003552189,-0.002222956,940,479.2894
-0.033030735,-313.157953,0,3.8085,0.09139595,23.53366667,0.000302417,0.000149402,-0.211648734,2.76E-05,-0.051742387,-0.021452051,0.0639,-0.10945197,0.0139,0.20454,1.9598,0.008052317,0.006188487,0.002864683,-0.040578766,-0.002550983,2410,479.2894
-0.02259382,-171.449377,0,61.7819,0.033301075,15.81033333,1.87E-05,0.003717567,-0.132475919,-4.06E-06,-0.570374422,-0.027056577,0.058,-0.043696949,-0.0004,0.00356,1.9237,-0.025179166,-0.133245284,0.006976511,-0.047328896,0.000200011,670,-943.1913
0.002143216,-166.942784,0,17.0784,-0.023579303,15.81033333,-0.000424999,-0.000349414,-0.167052735,3.41E-05,0.302177749,0.005986135,-0.023,0.001041156,-0.0029,-0.02312,1.7998,0.014863433,0.041246657,0.001419341,0.015015655,0.000215351,-120,-943.1913
-0.002079144,-164.961003,0,23.1454,0.000619096,15.81033333,-0.00050804,0.001474887,-0.073209839,4.24E-05,0.063013168,-0.003354302,0.0032,-0.002328321,0.0035,0.04968,1.7701,-0.00356832,-0.012552096,0.000223922,0.006566625,-0.000523077,670,-943.1913
-0.052038198,-242.369322,0,13.6688,0.168887162,15.81033333,-0.000402376,0.005970355,-0.00634441,5.49E-05,0.110560327,-0.035520437,0.0665,-0.062634431,0.0007,0.06352,1.7653,0.013570181,0.022690271,0.000373093,0.022817254,-0.001308891,590,-943.1913
0.007745359,-43.21333,0,51.9887,0.001698438,14.07933333,0.001773414,8.40E-05,-0.058668418,4.40E-05,-0.138137428,0.005269113,-0.0813,0.007256246,0.0027,-0.01256,1.6865,0.005882019,0.009089004,0.000298374,0.00928182,-0.000801579,810,227.3878
